Product,Flow,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Renewables and waste,Transport (ktoe),5857.6029,6105.7023,5972.9282,6228.3945,6643.7911,6869.2421,7151.8429,6910.0551,6782.9739,6798.4531,5820.1926,5377.3445,6084.9721,5794.1804,6444.974,6963.1519,6453.6245,8909.8652,12002.3372,13156.2329,14065.6267,12415.9948,11685.5502,13765.6391,15142.5077,17922.8905,16351.5261,16602.26,19191.3227
Renewables and waste,Residential (ktoe),8602.5253,8544.4409,8506.5339,7476.275,7259.2304,6544.2243,6384.5351,6459.6066,6596.6295,6802.368,6982.1773,7277.9547,8113.1814,8457.1238,8576.8753,8752.4278,8778.0051,8329.4556,8236.6875,8112.8663,7785.0634,6988.2525,6950.4581,6143.2415,6586.6242,6807.7887,6492.8396,6870.7211,7653.9763
Renewables and waste,Commercial and public services (ktoe),173.3804,168.5113,166.2273,161.1593,153.1102,148.3527,154.6627,152.5142,146.5647,145.3727,138.6406,132.6661,123.25,140.8141,137.1882,140.1282,143.5232,150.3848,156.1022,158.4429,174.7934,187.4635,186.457,186.457,188.0822,182.6321,174.4003,175.6172,170.0297
Renewables and waste,Other final consumption (ktoe),2181.6386,2120.9262,1930.416,1883.2417,1854.0275,1892.2212,1877.9871,1858.089,1783.353,1749.9135,1673.5055,1691.6339,1859.5904,2067.7935,2222.3995,2286.2908,2367.7862,2498.1016,2777.408,2728.0624,2899.6981,3137.3061,3201.0581,3473.1048,3635.748,3930.9466,3795.938,4463.6045,4570.0436
Electricity,Production (ktoe),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Electricity,Imports (ktoe),2282.4592,2329.1488,2065.5202,2369.8194,2731.4703,3039.7248,3144.1101,3480.4815,3388.822,3436.6294,3812.9837,3254.8581,3145.3138,3194.411,3215.1333,3370.7653,3563.8005,3513.8435,3688.822,3530.8684,3087.3603,3304.3852,3501.4617,3468.0997,2904.3852,2978.6758,3552.2786,3139.3722,3007.7121
Electricity,Exports (ktoe),-0.6019,-0.6879,-0.6879,-0.9458,0.0,0.0,-0.6879,-0.6879,-0.6879,-0.6019,-0.6019,-0.5159,-0.6019,-0.5159,-0.6019,-13.7575,-24.3336,-174.8925,-59.2433,-92.8633,-108.0825,-218.7446,-40.1548,0.0,-0.258,-18.8306,-44.54,-13.4298,-0.0684
Electricity,Total energy supply (ktoe),2281.8573,2328.4609,2064.8323,2368.8736,2731.4703,3039.7248,3143.4222,3479.7936,3388.1341,3436.0275,3812.3818,3254.3422,3144.712,3193.8951,3214.5314,3357.0077,3539.4669,3338.951,3629.5787,3438.0052,2979.2777,3085.6406,3461.307,3468.0997,2904.1273,2959.8452,3507.7386,3125.9425,3007.6438
Electricity,"Electricity, CHP and heat plants (ktoe)",19159.1574,20152.7945,20785.2106,21666.0361,22359.5013,23697.4205,25045.3998,26481.6853,27665.3483,28748.9252,29968.8735,28209.1143,29686.7584,31288.6501,33269.0456,34585.3826,35997.5065,38173.8607,39775.3224,40029.0628,44313.1556,45675.0645,47492.7773,49076.4402,50755.804,49979.5356,49741.8745,50640.9981,51670.2102
Electricity,"Oil refineries, transformation (ktoe)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
